Current Occupation,"Less than ₱5,000","₱5,000 - ₱10,000","₱10,001 - ₱15,000","₱15,001 - ₱20,000","More than ₱20,000"
Student,80.52,12.99,5.19,0.0,1.3
Employed (full-time),45.45,27.27,18.18,9.09,0.0
Employed (part-time),50.0,50.0,0.0,0.0,0.0
Self-employed,50.0,50.0,0.0,0.0,0.0
Freelancer,0.0,100.0,0.0,0.0,0.0
Unemployed,50.0,33.33,16.67,0.0,0.0
Retired,0.0,0.0,0.0,100.0,0.0
