Current Occupation,"Less than ₱5,000","₱5,000 - ₱10,000","₱10,001 - ₱15,000","₱15,001 - ₱20,000","More than ₱20,000"
Student,62,10,4,0,1
Employed (full-time),5,3,2,1,0
Employed (part-time),2,2,0,0,0
Self-employed,1,1,0,0,0
Freelancer,0,1,0,0,0
Unemployed,3,2,1,0,0
Retired,0,0,0,1,0
