Monthly income salary or allowance,"Less than ₱5,000","₱5,000 - ₱10,000","₱10,001 - ₱15,000","₱15,001 - ₱20,000","More than ₱20,000"
"Below ₱10,957",79.01,16.05,3.7,0.0,1.23
"₱10,957 to ₱21,914",50.0,25.0,25.0,0.0,0.0
"₱21,914 to ₱43,828",57.14,42.86,0.0,0.0,0.0
"₱43,828 to ₱76,669",0.0,33.33,66.67,0.0,0.0
"₱76,669 to ₱131,484",100.0,0.0,0.0,0.0,0.0
"₱131,484 to ₱219,140",0.0,0.0,0.0,100.0,0.0
