Monthly income salary or allowance,"Less than ₱5,000","₱5,000 - ₱10,000","₱10,001 - ₱15,000","₱15,001 - ₱20,000","More than ₱20,000"
"Below ₱10,957",64,13,3,0,1
"₱10,957 to ₱21,914",4,2,2,0,0
"₱21,914 to ₱43,828",4,3,0,0,0
"₱43,828 to ₱76,669",0,1,2,0,0
"₱76,669 to ₱131,484",1,0,0,0,0
"₱131,484 to ₱219,140",0,0,0,2,0
